공공기관,교육,금융/재테크,디자인 ,라이프스타일,미디어,법률,비영리단체,스타트업,시사,영화제,음악,출판,커뮤니티/회사,패션,푸드,IT,비즈니스,예술,에세이,여행,환경 
서울연구원 주간브리프,"인생학교 서울 , 일상을 윤택하게 하는 아이디어들이 담긴 콘텐츠를 매주 월요일 전달합니다.","순살브리핑 https://page.stibee.com/subscriptions/51845 , 모건스탠리 홍콩 출신 2인의 글로벌 금융·경제 뉴스 살코기","weekly D https://page.stibee.com/subscriptions/29178 , 매주 읽어볼 만한 디자인 관련 글을 모아서 보내는 weekly D입니다.",러쉬코리아 ,"스티비 스요레터 https://page.stibee.com/subscriptions/3 , 알찬 뉴스레터, 이메일 마케팅 꿀팁을 가장 빠르게 전해드려요",최앤리 법률사무소 http://choilee-law.com/,여성인권 영화제 http://www.fiwom.org/main/main.html,"Platum https://platum.kr/newsletter ,  한주간 국내 스타트업 소식 및 중국 테크 소식을 받아 보실 수 있습니다.","뉴닉 http://newneek.co/?utm_medium=email&utm_source=newneek&utm_campaign=dailynewsletter , 시사 이슈를 대화처럼 풀어내는 뉴스레터, 바쁜 밀레니얼 세대가 사회와 연결될 수 있는 새로운 선택지",부산국제영화제 http://post.biff.kr/_common/mailing/record.asp,"오디티 스테이션 https://mailchi.mp/37b398c233e7/oddity-station-by-space-oddity , 매주 목요일 아침, 당신의 메일함에 음악과 이야기를 보내드립니다.","북 저널리즘 https://www.bookjournalism.com/newsletter , 책처럼 깊이있게, 뉴스처럼 빠르게 지적 콘텐츠를 전달합니다.","회사밖 https://www.notion.so/Out-Of-Office-adc4ae386dc44057a6b59226f2b2d3fd , 직장인 네트워킹 프로젝트에요. 우리에게 활력과 창의성을 북돋는 커뮤니티를 만들고 운영합니다.","H&M https://www2.hm.com/ko_kr/customer-service/newsletter.html , 최신 패션 트렌드와 스타일 팁, 단독 혜택을 받아보세요. ","OLIVE SHOP https://oliveshop.co.kr/member/join.html , 대한민국 대표 푸드 매거진 올리브 매거진 코리아가 운영하는 제철 명품 푸드 마켓입니다.","레츠스위프트 https://page.stibee.com/subscriptions/58654 , 최신 iOS 개발 동향을 전해드립니다.","커피팟 https://page.stibee.com/subscriptions/52057 , 변화하는 세상 속 밀레니얼이 꼭 알아야 할 뉴스를 전합니다. 매주 화요일과 금요일, 세상을 바꾸고 있는 기업과 비즈니스 이야기의 맥락을 쉽고 재미있게 전해 드릴게요.","줌줍 https://mailchi.mp/34b0f8799ea5/zoomzup2 , 줌줍은 문화예술계 전반의 시의성 있는 이슈를 예술경영의 관점에서 분석한 텍스트를 제공합니다.","여름의 솜사탕 https://mailchi.mp/9e0e525bc03b/summercandy/#mail , <여름의 솜사탕>에서 소소하지만 기분 좋아지는 솜사탕같은 이야기를 전해드릴게요. 제가 좋아하는 책, 영화, 음악 등등의 취향 추천도 함께요!","에어 프레미아 https://page.stibee.com/subscriptions/23059 , 내 여행의 시작과 끝을 아름답게 장식할 항공경험을 에어프레미아가 제안합니다.","위클리어스 https://www.weeklyearth.com/?gclid=CjwKCAjw34n5BRA9EiwA2u9k3-Hl33WlOYjKEZ4mJ1hN_xJDcBdNaR5xhImURBYNAbALvpa3sHoXcxoC2LcQAvD_BwE , 전세계 환경 이슈를 매주 금요일 오후 2시,​ 이메일로 간편하게 만나보세요!"
하자센터,"정신분석센터 판도 , 학문적 성숙과 사회적 책임에 대해 연구하고 토론합니다.","어피티 머니레터 https://uppity.co.kr/ , 사회초년생을 위한 첫 번째 경제미디어, 어피티","Datz , 시각예술을 중심으로 한 책을 만들고, 전시를 기획하거나 참여합니다.","라이프플러스 https://www.lifeplus.co.kr/about/ , 한화금융의 Lifeplus 대표 브랜드 사이트 뉴스레터 제작/발송","weekly D https://page.stibee.com/subscriptions/29178 , 매주 읽어볼 만한 디자인 관련 글을 모아서 보내는 weekly D입니다.",법무법인 비트 https://page.stibee.com/subscriptions/33558,환경운동 연합 http://kfem.or.kr/,"슬로워크 오렌지레터 https://slowalk.co.kr/orangeletter/ , 오렌지레터, 이거 하나만 보세요! 한 주간 당신이 혹시 놓쳤을지 모르는 소셜섹터 이슈","퍼블리 https://publy.us11.list-manage.com/subscribe?u=8e469b932eaa730d3a89bc869&id=f64c75daf2 , 지적인 사람들을 위한 뉴스레터",디아스포라영화제 http://www.diaff.org/sub/sub_07_02.php,"BGM NEWS https://docs.google.com/forms/d/e/1FAIpQLScCaqeKyDRUyADrL5guSx_Ny0YPqCat2Y3NJRjDYN84Zek7ow/viewform , 음악 1인 크리에이터들을 위한 BGM 정보","동네서점 https://www.bookshopmap.com/newsletter , 어서오세요. 독립서점 추천 검색 가이드입니다. 내 취향의 이웃을 발견하세요. 함께 읽고, 그 감동을 공유하세요.","헤이조이스 https://heyjoyce.com/newsletter , 나답게 사는 여자들의 이야기! 한 달에 2번, 헤이조이스 뉴스레터에서 만나 보세요.","패션에이드 https://page.stibee.com/subscriptions/57163 , 스타일리스트가 까다롭게 골라 추천하는 데일리룩!/ 셀럽 패션/ 트렌드 스타일 뉴스레터 구독하고 스타일 업 해보세요!","주간 배짱이 https://www.baemin.com/newsletter , 가장 빠른 배민 소식부터 비하인드 스토리, 에디터들이 전하는 맛있는 이야기까지. 매주 목요일 주간 배짱이가 찾아갑니다.","바이라인네트워크 https://byline.network/newsletter/ , 일간 바이라인은 독자님들께 저희 기자들이 보내는 편지입니다.저희의 관심, 일상, 고민을 독자님들과 함께 나누고 싶어서 시작했습니다. ","웬뉴 https://www.fastcampus.co.kr/pages/37, 매주 수요일 당신의 메일함으로 실무 & 비즈니스 트렌드 소식이 찾아갑니다.","수스슈스 https://page.stibee.com/subscriptions/32978 , 자극과 영감을 마구마구 받아가세요.",,한국관광공사 https://kto.visitkorea.or.kr/kor/notice/data/newsletter/subscribe.kto,
한국개발연구원 http://www.kdi.re.kr/information/newsletter_info.jsp ,"유쓰망고 망고레터 https://www.youthmango.org/ , 학습자 중심 배움 무브먼트를 만들어갑니다","디스트리트 뉴스레터 https://docs.google.com/forms/d/e/1FAIpQLSd4Newx99yPw6nFqZ9dN2NZoh2qzG0XzHTa7D3oudvoXExUpw/viewform , 매일경제와 함께하는 블록체인 전문 미디어","디독 https://page.stibee.com/subscriptions/31254 , 해외 디자인 아티클 번역 뉴스레터, 읽는 디자인 디독","헤이그라운드 FRAME# https://page.stibee.com/subscriptions/30758 ,  '일을 바라보는 다양한 시선들'을 담아 전합니다.","듣똑라 https://livesmarter.joins.com/letterapply , 주요 뉴스, 시사 상식, 방송 예고까지 'Weekly 똑똑'이 매주 금요일 오후 여러분을 찾아갈게요!",,"위클리어스 https://www.weeklyearth.com/?gclid=CjwKCAjw34n5BRA9EiwA2u9k3-Hl33WlOYjKEZ4mJ1hN_xJDcBdNaR5xhImURBYNAbALvpa3sHoXcxoC2LcQAvD_BwE , 한 눈에 보는 주간 환경 이슈","스타트업 위클리 http://glance.media/subscription/subscribe , 국내외 IT/스타트업 주요 소식 및 일정을 정리하여 매주 월요일 오전 5시에 이메일로 발송합니다.","듣똑라 https://livesmarter.joins.com/letterapply , 주요 뉴스, 시사 상식, 방송 예고까지 'Weekly 똑똑'이 매주 금요일 오후 여러분을 찾아갈게요!",강릉국제영화제 http://giff.kr/ko/page/newsletter1.php,,"폴리티카 https://newt.news/newsletter/politika/?utm_source=newsletter&utm_medium=email&utm_campaign=politika_subscribe&utm_content=1517db6049&utm_content2=btn&fbclid=IwAR1PBoNQaqGgMPWvkw4xUXsSbu_cJFOFdSUCm7CccE7Wqxnnyy72j8XhDjk , 정치가 알고 싶은 밀레니얼들을 위한 맞춤형 뉴스레터","스여일삶 https://page.stibee.com/subscriptions/39990 , 매주 스여일삶에서 진행 예정인 모임과 스여일삶 멤버 분들의 이야기, 그리고 여성 창업가나 스타트업에게 유용한 정보와 뉴스, 한 주를 마무리할 때 읽으면 좋은 짧은 에세이도 함께 보내드립니다.","하입비스트 https://hypebeast.kr/fashion# , 하입비스트는 세계적인 패션과 스트릿웨어 뉴스 웹 매거진입니다.","빵슐랭 가이드 https://page.stibee.com/subscriptions/69711 , '빵 덕후' 현직 기자가 쓰는 빵집 큐레이팅 뉴스레터","The Miilk https://docs.google.com/forms/d/e/1FAIpQLScOAY62JVZMdZ1GEEA6jbfqHKG8k3kiAtI4-brIBE-dBc1wiQ/viewform , 미 실리콘밸리 현장에서 혁신 아이디어와 가치 있는 정보를 신선한 우유처럼 구독자 분들께 배달해드립니다.",,the art newspaper https://subscribe.theartnewspaper.com/digital,,서울관광재단 Visit Seoul https://korean.visitseoul.net/subscribe-newsletter,
한국관광공사 https://kto.visitkorea.or.kr/kor/notice/data/newsletter/subscribe.kto,"퇴사학교 https://t-school.kr/ , 더 이상 주말 2일을 위해 평일 5일을 미루지 않도록 현실은 어쩔 수 없다고 ‘말’하기보다는 스스로 직접 대안을 ‘실행’할 수 있도록 행복한 일을 찾는 어른들의 학교 퇴사학교",8퍼센트,슬로워크,"J의 편지 https://page.stibee.com/subscriptions/49517 , 콘텐츠를 너무나도 사랑하는 마케터 J와 지연이 발행하는 취향 큐레이션 뉴스레터, J의 편지입니다.","뉴닉 http://newneek.co/?utm_medium=email&utm_source=newneek&utm_campaign=dailynewsletter , 시사 이슈를 대화처럼 풀어내는 뉴스레터, 바쁜 밀레니얼 세대가 사회와 연결될 수 있는 새로운 선택지",,"희망제작소 이슈 솎아보기 https://gallery.stibee.com/preview?id=199 , 시민과 함께 사회혁신을 실천하는 THINK & DO TANK","유니코니 https://unicorny.mailchimpsites.com/ , 금융시장과 스타트업 취재 경험이 있는 기자가 운영하는 뉴스레터","마부작침 https://page.stibee.com/subscriptions/56136 , 당신의 일상에 엣지를 더해주는 마부작침 탐정사무소 뉴스레터 지금 구독해주세요.",국제다큐멘터리 영화제 http://dmzdocs.com/kor/artyboard/mboard.asp?action=list&strBoardID=0V3I_OZYQ,,"리딩리딩 https://www.rglg.co.kr/?fbclid=IwAR18Jo1mlv0ayvIoPACjq50OyTTMa53RYjjLjQaZeAYqWAc6AI1JtGAVrAs , 좋은 책과 좋은 사람들을 이어주는 리딩리딩","뽀시래기의 지식 한 장 https://www.notion.so/PPO-SIC-3d6f4b7e0847481c87277376b944208d , 자주 쓰는 실무용어를 한 장으로 간단하게 알려드려요!","fashion magazine https://fashionmagazine.com/newsletter-subscribe/ , The latest fashion and beauty news and stories for all ages, sizes, genders, ethnicities and orientations, delivered straight to your inbox.","비어스픽 https://docs.google.com/forms/d/e/1FAIpQLScKojTxh_19cGQr6o_rJCGo-L6l91dcRdiCaxGhq5kaeMGIbA/viewform?fbclid=IwAR0RWKLRMcyT_mZncqg7yKR0YfVDM2R-mzm37neFgpK1CHI3iASt2opSLHU , 비어스픽의 큐레이션 페어링 프로그램 신청과 후기, 크래프트맥주 관련 다양한 소식들이 담길 이름하야 <BEER'S PICK PAIRING LETTER>","semtong https://docs.google.com/forms/d/e/1FAIpQLSdBEZRgttdKxe82-AZa1OizlpGoIFfx9HLC7f4BMpu11CC2PQ/viewform , 국내 1위 성능 모니터링 회사이자, 인공지능(AI), 빅데이터, 클라우드 기술로 각광받는 엑셈이 발행하는 뉴스레터 Semtong입니다.",,"예술가 https://page.stibee.com/subscriptions/73392 , 매 2주마다 정기로 발행되는 예술 지식 뉴스레터 <예술가>를 구독하세요.",,"통영리스타트플랫폼 https://www.tyrestart.com/load.asp?subPage=260.View&searchValue=&searchType=&page=1&dcate=&idx=159 , 매월 통영리스타트플랫폼의 소식을 만나보세요!",
KOTRA 해외시장뉴스 https://news.kotra.or.kr/user/newsLetter/kotranews/58/usrGwNewsLetterApply.do,"다음세대재단 , 한 달에 한 번 보다 즐거운 세상을 위한 혁신적인 공익활동 이야기를 전합니다. ","뉴서퍼 https://page.stibee.com/subscriptions/55973 , 이해하기 힘들었던 기존 경제 뉴스를 엎어 알기 쉽게 경제 뉴스를 전달하는 뉴스레터","UX Design Weekly https://uxdesignweekly.com/ , A curated list of the best user experience design links every week.","수스슈스 https://page.stibee.com/subscriptions/32978 , 마구마구 주고받던 자극과 영감을 우리끼리 간직하기 아쉬워서","부딩 https://www.booding.co/ , 부.알.못 밀레니얼을 위한 구독형 부동산 뉴스레터, 부딩!",,성북문화재단 https://www.sbculture.or.kr/culture/community/newsletter.jsp,"아웃스탠딩 https://outstanding.us1.list-manage.com/subscribe?u=58649932600b1a93ad942d0a7&id=546a6b6aba , 어려운 IT이슈를 쉽고 재미있게 풀어드립니다.","뭐라노 http://www.kookje.co.kr/contents/ , 평소에 기사 읽기 너무 힘들지 않나요? '뭐라노'는 이런 분들을 위해 탄생했습니다.",정동진독립영화제 http://jiff.kr/news-letter/,,,"이벤터스 https://event-us.kr/l/NewsLetter , 행사 찾지말고 구독하세요.",,"슬점 https://lnky.in/wiselunchtime , 오늘 점심시간에 뭘 먹을지 고민되고, 동료와 또 무슨 주제로 얘기를 해야하나... 고민되시죠? 뉴스레터 슬점이 도와드립니다!","itword http://www.itworld.co.kr/main/?newsletter%5Bitw%5D=1&newsletter%5Bcio%5D=2&newsletter_email= ,  ITWorld, CIO, Tech Library, 컨퍼런스를 통해 테크 바이어들이 필요로 하는 기술 및 비즈니스 정보를 보다 빠르고 객관적으로 전달하며, Demand Generation 프로그램과 마케팅 서비스를 통해 기업이 고객과의 인게이지먼트를 강화하고 효과적인 마케팅 캠페인을 진행하도록 돕습니다.",,MMCA 뉴스레터 https://www.mmca.go.kr/pr/blogList.do?cdId=1360&bGb=02 ,,오스트리아 관광청 https://b2b.austria.info/kr/%EC%97%AC%ED%96%89%EC%82%AC-%EA%B3%B5%EA%B0%84/%EC%98%A4%EC%8A%A4%ED%8A%B8%EB%A6%AC%EC%95%84-%EA%B4%80%EA%B4%91-%EB%89%B4%EC%8A%A4/articles/%EB%89%B4%EC%8A%A4%EB%A0%88%ED%84%B0/ ,
교육부 https://www.moe.go.kr/boardCnts/list.do?boardID=72719&m=0203&s=moe ,"브로콜리레터 http://www.broccoli-letter.com/ , 고액 입시 컨설팅 대신 양질의 입시 소식을 받아보세요.","Two Cents https://hur.substack.com/ , 테크, 스타트업, VC 분야의 흐름에 대하여 읽고 생각하고 이해하는 것들을 공유하고자 합니다.",UX트렌드리포트 http://www.rightbrain.co.kr/CMS/ux-discovery-subscribe/ ,"브리크매거진 https://page.stibee.com/subscriptions/50582 , 도시인의 삶을 풍요롭게, 일상에 영감을 주는 공간과 라이프스타일을 전하는 <브리크brique> ","어피티 머니레터 https://uppity.co.kr/ , 사회초년생을 위한 첫 번째 경제미디어, 어피티",,"숲과 나눔 https://koreashe.org/notice/newsletter/, 숲과나눔의 최신 공지와 뉴스를 알려드립니다.","벤처스퀘어 https://www.venturesquare.net/newsletter-signup , 벤처스퀘어는 매주 화요일, 이미 발행된 기사 가운데 스타트업 생태계를 이해하는데 꼭 필요한 소식과 독자에게 가장 많은 관심을 받았던 기사를 모아 보내드리고 있습니다.","폴리티카 https://newt.news/newsletter/politika/?utm_source=newsletter&utm_medium=email&utm_campaign=politika_subscribe&utm_content=1517db6049&utm_content2=btn&fbclid=IwAR1PBoNQaqGgMPWvkw4xUXsSbu_cJFOFdSUCm7CccE7Wqxnnyy72j8XhDjk , 정치가 알고 싶은 밀레니얼들을 위한 맞춤형 뉴스레터",전주국제영화제 https://page.stibee.com/subscriptions/55615,,,,,"ClubComb https://page.stibee.com/subscriptions/50327 , 해외에서는 어떻게 먹고 마시고 있을까","필잇 https://page.stibee.com/subscriptions/67315 , Fill IT, Feel IT! IT를 채우고 IT를 느끼는 뉴스레터 필잇!을 구독해주세요. 비영리를 위한 디지털 기술 등의 정보와 비영리IT지원센터의 지원 소식을 받아보세요.",,"통영리스타트플랫폼 https://www.tyrestart.com/load.asp?subPage=260.View&searchValue=&searchType=&page=1&dcate=&idx=159 , 매월 통영리스타트플랫폼의 소식을 만나보세요!",,,
국토연구원 http://www.krihs.re.kr/issue/nletterMemInsert.do,교육부 https://www.moe.go.kr/boardCnts/list.do?boardID=72719&m=0203&s=moe ,"그게머니 https://news.joins.com/IssueSeries/1036, 세상 쉬운 내 돈 관리",,"ㅎ_ㅇ https://page.stibee.com/subscriptions/30715 , 세상에 콘텐츠가 이렇게 많은데 또 콘텐츠를 만든다니","텀블벅 창작레터 https://page.stibee.com/subscriptions/52647 , 사소한 영감을 불어 넣어주는 텀블벅 창작레터를 구독해주세요!",,"유쓰망고 망고레터 https://www.youthmango.org/ , 학습자 중심 배움 무브먼트를 만들어갑니다","Two Cents https://hur.substack.com/ , 테크, 스타트업, VC 분야의 흐름에 대하여 읽고 생각하고 이해하는 것들을 공유하고자 합니다.","슬점 https://lnky.in/wiselunchtime , 오늘 점심시간에 뭘 먹을지 고민되고, 동료와 또 무슨 주제로 얘기를 해야하나... 고민되시죠? 뉴스레터 슬점이 도와드립니다!",,,,,,,"GeekNews https://news.hada.io/weekly , 매주 월요일 아침, 지난 일주일간의 GeekNews 중 엄선한 뉴스들을 이메일로 보내드립니다.",,,,,
서울관광재단 Visit Seoul https://korean.visitseoul.net/subscribe-newsletter,,"매콤달콤 https://member.mk.co.kr/newsletter/info.php, 매일경제 지식레터 ‘매세지(매경이 전하는 세상의 지식)’를 기본으로 매일매일 다른 주제의 깊이 있는 주요 기사를 선별하여 전달합니다.",,"여름의 솜사탕 https://mailchi.mp/9e0e525bc03b/summercandy/#mail , 전지적 여름 시점, 취향 공유 뉴스레터","디스트리트 뉴스레터 https://docs.google.com/forms/d/e/1FAIpQLSd4Newx99yPw6nFqZ9dN2NZoh2qzG0XzHTa7D3oudvoXExUpw/viewform , 매일경제와 함께하는 블록체인 전문 미디어",,"국제앰네스티 https://amnesty.or.kr/, 정의와 진실이 당연한 세상을 만듭니다.","센서블박스 https://page.stibee.com/subscriptions/56823 , 각종 창업 지원 프로그램과 데모데이 소식들을 인간지능 큐레이터가 보기 쉽게 정리해 드립니다.","뉴서퍼 https://page.stibee.com/subscriptions/55973 , 이해하기 힘들었던 기존 경제 뉴스를 엎어 알기 쉽게 경제 뉴스를 전달하는 뉴스레터",,,,,,,"Mozilla https://www.mozilla.org/en-US/newsletter/ , Subscribe to updates and keep current with Mozilla news. It’s the perfect way for us to keep in touch!",,,,,
정책브리핑 http://www.korea.kr/etc/newsLetterRecommendForm.do,,KOTRA 해외시장뉴스 https://news.kotra.or.kr/user/newsLetter/kotranews/58/usrGwNewsLetterApply.do,,"애니띵 https://news.joins.com/newsletter , 동물과 자연에 대한 모든 것",오글리 https://page.stibee.com/subscriptions/33681,,동물보호시민단체 카라 https://page.stibee.com/subscriptions/63194,"angellist talent https://angel.co/blog , Delivering the top tech news, startup advice, and job opportunities to your inbox every week","미스터동 https://page.stibee.com/subscriptions/57980 , 매주 월,수,금 여러분의 메일로 요약된 시사 이슈와 상식을 전달 받으세요.",,,,,,,"개발자스럽다 https://blog.gaerae.com/ , 월간 개발자스럽다 는 소셜 미디어 채널로 한 달간 공유했던 정보를 취합한 뉴스레터입니다.",,,,,
복지로 http://bokjiro.go.kr/news/newsLetterApp.do ,,"유니코니 https://unicorny.mailchimpsites.com/ , 금융시장과 스타트업 취재 경험이 있는 기자가 운영하는 뉴스레터",,,올리브샵 https://oliveshop.co.kr/member/join.html,,"희망제작소 이슈 솎아보기 https://page.stibee.com/subscriptions/52122 , 시민과 함께 사회혁신을 실천하는 THINK & DO TANK","통영리스타트플랫폼 https://www.tyrestart.com/load.asp?subPage=260.View&searchValue=&searchType=&page=1&dcate=&idx=159 , 매월 통영리스타트플랫폼의 소식을 만나보세요!","줍줍 https://page.stibee.com/subscriptions/46179 , 이번주 당신이 바빠서 흘린 이슈, 줍줍이 주워다 드려요.",,,,,,,"CIO korea http://www.ciokorea.com/news , CIO는 전 세계 비즈니스 리더들의 성공경험을 공유하고 테크놀로지 리더들에게 변화하는 역할모델을 제시하며 테크놀로지 비즈니스 리더들에 특화된 네트워킹 기회 창출을 제시합니다. ",,,,,
